"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","EXECUTED DOCUMENTS.zip","5982.06","5.84","11/21/2025 12:21:20 PM","11/21/2025 12:21:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\ALTA - Fully Executed.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","ALTA - Fully Executed.pdf","247.74","0.24","11/21/2025 12:20:32 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\Seller Documents - Executed.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","Seller Documents - Executed.pdf","3403.45","3.32","11/21/2025 12:20:30 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\Kim & Co charity form.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","Kim & Co charity form.pdf","331.9","0.32","11/21/2025 12:20:24 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\Delivery of Proceeds.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","Delivery of Proceeds.pdf","425.64","0.42","11/21/2025 12:20:21 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\Deed - Executed.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","Deed - Executed.pdf","188.26","0.18","11/21/2025 12:20:19 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\courier sheet Panhandle Realty.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","courier sheet Panhandle Realty.pdf","110.26","0.11","11/21/2025 12:20:16 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\courier sheet Kim & co.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","courier sheet Kim & co.pdf","108.43","0.11","11/21/2025 12:20:13 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS\Buyer E sign documents.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\EXECUTED DOCUMENTS","Buyer E sign documents.pdf","1387.93","1.36","11/21/2025 12:20:10 PM","11/21/2025 6:19:16 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","POST CLOSING.zip","10236.4","10","11/21/2025 12:19:58 PM","11/21/2025 12:19:39 PM"
